"View All %1","View All %1"
"Add To Cart","Add To Cart"
"Previous","Previous"
"Loading Product Options","Loading Product Options"
"Choose options","Choose options"
"Share with friends","Share with friends"
"Ascending","Ascending"
"Descending","Descending"
"AMP Validation","AMP Validation"
"Open this CMS page in AMP validator","Open this CMS page in AMP validator"
"You can learn more about AMP HTML specification and text formatting %1here%2","You can learn more about AMP HTML specification and text formatting %1here%2"
"Please enter only the script used for the tag %1.", "Please enter only the script used for the tag %1."